system,threshold,accuracy,macro_f1,precision,recall,roc_auc,tn,fp,fn,tp,count,selected_primary
layer_1,0.8545608819385444,0.5705329153605015,0.568480503964375,0.5818181818181818,0.5015673981191222,0.589980444374564,204,115,159,160,638,False
layer_2,0.8144810074424229,0.6018808777429467,0.6014069264069264,0.6094276094276094,0.567398119122257,0.6187242656813514,203,116,138,181,638,False
layer_3,0.7590346594108985,0.6112852664576802,0.6112814465408805,0.61198738170347,0.6081504702194357,0.6356757500417646,196,123,125,194,638,False
layer_4,0.733040961888277,0.6316614420062696,0.6313997369423854,0.6390728476821192,0.6050156739811913,0.6575308811823783,210,109,126,193,638,False
layer_5,0.694900522291184,0.64576802507837,0.645084428690986,0.6340057636887608,0.6896551724137931,0.6767622173524238,192,127,99,220,638,False
layer_6,0.6563890597989315,0.6442006269592476,0.6419124573796555,0.6243243243243243,0.7241379310344828,0.6852526999538133,180,139,88,231,638,False
layer_7,0.6299082771098415,0.6489028213166145,0.6467331118493909,0.6287262872628726,0.7272727272727273,0.6945883000363596,182,137,87,232,638,False
layer_8,0.6039180459928428,0.6598746081504702,0.6558492404600741,0.6314432989690721,0.768025078369906,0.7036192647477915,176,143,74,245,638,False
layer_9,0.572786288833367,0.6661442006269592,0.6624212840481425,0.6373056994818653,0.7711598746081505,0.7093090673244171,179,140,73,246,638,False
layer_10,0.5625224515276779,0.6598746081504702,0.6543024298159972,0.6275,0.786833855799373,0.7197158046795924,170,149,68,251,638,False
layer_11,0.5946510345600504,0.6536050156739812,0.6508178655010587,0.6303191489361702,0.7429467084639498,0.7095645679582552,180,139,82,237,638,False
layer_12,0.4942487086303154,0.6363636363636364,0.6308459696727853,0.6095717884130982,0.7586206896551724,0.6971138255323748,164,155,77,242,638,False
