system,threshold,accuracy,macro_f1,precision,recall,roc_auc,tn,fp,fn,tp,count,selected_primary
layer_1,0.8593321913324325,0.578125,0.5730170496664195,0.6,0.46875,0.572265625,22,10,17,15,64,False
layer_2,0.8301479374177805,0.625,0.6216748768472906,0.6538461538461539,0.53125,0.6240234375,23,9,15,17,64,False
layer_3,0.7415336298361936,0.59375,0.5933528836754643,0.5882352941176471,0.625,0.681640625,18,14,12,20,64,False
layer_4,0.7405855753074282,0.65625,0.65625,0.65625,0.65625,0.7060546875,21,11,11,21,64,False
layer_5,0.6687705183287743,0.65625,0.6476476476476476,0.6190476190476191,0.8125,0.7412109375,16,16,6,26,64,False
layer_6,0.6790330453620839,0.71875,0.718475073313783,0.7058823529411765,0.75,0.7421875,22,10,8,24,64,False
layer_7,0.6774827025642389,0.703125,0.703052503052503,0.696969696969697,0.71875,0.72265625,22,10,9,23,64,False
layer_8,0.6340850431637477,0.671875,0.6652552926525529,0.6341463414634146,0.8125,0.7265625,17,15,6,26,64,False
layer_9,0.5865746830140277,0.71875,0.708502024291498,0.6590909090909091,0.90625,0.74609375,17,15,3,29,64,False
layer_10,0.5716628190173432,0.703125,0.6903488668194551,0.6444444444444445,0.90625,0.751953125,16,16,3,29,64,False
layer_11,0.622086983040262,0.71875,0.7117117117117118,0.6666666666666666,0.875,0.7451171875,18,14,4,28,64,False
layer_12,0.567936778593011,0.734375,0.7327437975927291,0.7027027027027027,0.8125,0.7568359375,21,11,6,26,64,True
